A0,A1,A2,A3
27.569000244140625,0.0,0.0,0.0
27.61100006103516,0.0,0.0,0.0
27.591999053955078,0.0,0.0,0.0
27.569000244140625,0.0,0.0,0.0
27.583000183105469,0.0,0.0,0.0
27.61100006103516,0.0,0.0,0.0
27.545000076293945,0.0,0.0,0.0
27.58699989318848,0.0,0.0,0.0
27.583000183105469,0.0,0.0,0.0
27.559000015258789,0.0,0.0,0.0
27.54999923706055,0.0,0.0,0.0
27.620000839233398,0.0,0.0,0.0
27.569000244140625,0.0,0.0,0.0
27.620000839233398,0.0,0.0,0.0
27.58699989318848,0.0,0.0,0.0
27.583000183105469,0.0,0.0,0.0
27.559000015258789,0.0,0.0,0.0
27.572999954223636,0.0,0.0,0.0
27.61100006103516,0.0,0.0,0.0
27.563999176025391,0.0,0.0,0.0
27.58699989318848,0.0,0.0,0.0
27.60099983215332,0.0,0.0,0.0
27.559000015258789,0.0,0.0,0.0
27.545000076293945,0.0,0.0,0.0
27.572999954223636,0.0,0.0,0.0
27.58699989318848,0.0,0.0,0.0
27.620000839233398,0.0,0.0,0.0
27.583000183105469,0.0,0.0,0.0
27.591999053955078,0.0,0.0,0.0
27.54999923706055,0.0,0.0,0.0
27.614999771118164,0.0,0.0,0.0
27.591999053955078,0.0,0.0,0.0
27.583000183105469,0.0,0.0,0.0
27.521999359130859,0.0,0.0,0.0
27.66200065612793,0.0,0.0,0.0
27.572999954223636,0.0,0.0,0.0
27.58699989318848,0.0,0.0,0.0
27.54999923706055,0.0,0.0,0.0
27.540000915527344,0.0,0.0,0.0
27.597000122070309,0.0,0.0,0.0
27.525999069213871,0.0,0.0,0.0
27.60099983215332,0.0,0.0,0.0
27.629999160766602,0.0,0.0,0.0
27.620000839233398,0.0,0.0,0.0
